Trade Date,first,second,days_left,w1,w2,ret
2008-09-11,23.829999999999998,24.489999999999998,4,21.05263157894737,78.94736842105263,0.008117131074210526
2008-09-12,24.68,24.57,3,15.789473684210526,84.21052631578948,0.009942291482049948
2008-09-15,28.84,25.73,2,10.526315789473685,89.473684210526315,0.06644404486685507
2008-09-16,29.68,25.170000000000002,1,5.2631578947368425,94.736842105263165,-0.015835504655719035
2008-09-17,31.539999999999999,26.609999999999999,0,0.0,100.0,0.05754650536520689
2008-09-18,25.309999999999999,25.010000000000002,24,96.0,4.0,-0.0488538143555054
2008-09-19,24.739999999999998,24.379999999999999,23,92.0,8.0,-0.022626294568740546
2008-09-22,26.559999999999999,25.41,22,88.0,12.0,0.07109326944867123
2008-09-23,29.02,26.850000000000001,21,84.0,16.0,0.08847172810536685
2008-09-24,28.649999999999999,26.68,20,80.0,20.0,-0.011788175553137381
2008-09-25,27.739999999999998,25.989999999999998,19,76.0,24.0,-0.030648357870894594
2008-09-26,28.640000000000001,26.25,18,72.0,28.0,0.027320644216691115
2008-09-29,32.689999999999998,29.84,17,68.0,32.0,0.1401890542994837
2008-09-30,30.66,28.219999999999999,16,64.0,36.0,-0.05975202970608595
2008-10-01,31.870000000000001,28.850000000000001,15,60.0,40.0,0.03361807290407515
2008-10-02,34.100000000000001,30.640000000000001,14,56.0,44.0,0.0669884547648556
2008-10-03,35.670000000000002,31.199999999999999,13,52.0,48.0,0.03455134816561056
2008-10-06,37.369999999999997,31.940000000000001,12,48.0,52.0,0.03696412165467522
2008-10-07,41.829999999999998,34.32,11,44.0,56.0,0.09779311303059068
2008-10-08,45.560000000000002,35.390000000000001,10,40.0,60.0,0.05954646452833812
2008-10-09,52.299999999999997,37.68,9,36.0,64.0,0.10314765066653142
2008-10-10,56.710000000000001,38.310000000000002,8,32.0,68.0,0.04635891130609737
2008-10-13,50.640000000000001,36.07,7,28.0,72.0,-0.07841078781845334
2008-10-14,49.049999999999997,37.939999999999998,6,24.0,76.0,0.022446051766393582
2008-10-15,58.18,42.700000000000003,5,20.0,80.0,0.1430513416604282
2008-10-16,63.880000000000003,42.780000000000001,4,16.0,84.0,0.02629050572102365
2008-10-17,63.25,47.039999999999999,3,12.0,88.0,0.07534448392408355
2008-10-20,52.310000000000002,45.049999999999997,2,8.0,92.0,-0.06254950474837295
2008-10-21,52.799999999999997,43.799999999999997,1,4.0,96.0,-0.024343206781384463
2008-10-22,63.039999999999999,48.329999999999998,0,0.0,100.0,0.10775362318840598
2008-10-23,50.020000000000003,40.140000000000001,19,95.0,5.0,0.03496792882267741
2008-10-24,55.82,43.560000000000002,18,90.0,10.0,0.11470742640229359
2008-10-27,59.289999999999999,44.880000000000003,17,85.0,15.0,0.0596219364765358
2008-10-28,53.700000000000003,42.770000000000003,16,80.0,20.0,-0.08871228896260175
2008-10-29,56.409999999999997,44.159999999999997,15,75.0,25.0,0.04748223783825756
2008-10-30,55.369999999999997,44.200000000000003,14,70.0,30.0,-0.014433666057453443
2008-10-31,54.57,44.93,13,65.0,35.0,-0.006555297102981528
2008-11-03,51.960000000000001,44.710000000000001,12,60.0,40.0,-0.03464137823267455
2008-11-04,46.43,41.859999999999999,11,55.0,45.0,-0.09086832450061133
2008-11-05,50.200000000000003,43.850000000000001,10,50.0,50.0,0.06690930397647232
2008-11-06,57.579999999999998,47.799999999999997,9,45.0,55.0,0.12046783625730995
2008-11-07,54.649999999999999,47.479999999999997,8,40.0,60.0,-0.02862971973716988
2008-11-10,56.189999999999998,48.200000000000003,7,35.0,65.0,0.020815126718042753
2008-11-11,58.380000000000003,49.380000000000003,6,30.0,70.0,0.030070691125861693
2008-11-12,63.710000000000001,52.920000000000002,5,25.0,75.0,0.0782834101382488
2008-11-13,56.869999999999997,50.030000000000001,4,20.0,80.0,-0.06971726524924704
2008-11-14,62.899999999999999,53.509999999999998,3,15.0,85.0,0.07762947974629353
2008-11-17,67.950000000000003,56.25,2,10.0,90.0,0.05620146216666533
2008-11-18,67.040000000000006,57.289999999999999,1,5.0,95.0,0.014716126785092376
2008-11-19,67.219999999999999,62.899999999999999,0,0.0,100.0,0.09239755960365192
2008-11-20,66.230000000000004,59.770000000000003,18,94.736842105263165,5.2631578947368425,0.05294117647058827
2008-11-21,62.780000000000001,56.899999999999999,17,89.473684210526315,10.526315789473685,-0.051896701839589054
2008-11-24,58.640000000000001,54.149999999999999,16,84.21052631578948,15.789473684210526,-0.06424737100570677
2008-11-25,57.18,52.609999999999999,15,78.94736842105263,21.05263157894737,-0.025420418101372744
2008-11-26,53.18,50.850000000000001,14,73.684210526315795,26.315789473684209,-0.0627633081805753
2008-11-28,53.210000000000001,50.600000000000001,13,68.421052631578945,31.578947368421051,-0.0008310221572533916
2008-12-01,60.450000000000003,56.289999999999999,12,63.157894736842103,36.842105263157897,0.12886178453377273
2008-12-02,57.93,55.299999999999997,11,57.89473684210526,42.10526315789474,-0.033204398667178836
2008-12-03,57.729999999999997,55.210000000000001,10,52.631578947368418,47.368421052631582,-0.002704630290006782
2008-12-04,60.490000000000002,57.619999999999997,9,47.368421052631582,52.631578947368418,0.0458857371600927
2008-12-05,58.32,56.75,8,42.10526315789474,57.89473684210526,-0.025191636697869835
2008-12-08,55.259999999999998,54.670000000000002,7,36.842105263157897,63.157894736842103,-0.04341727706933374
2008-12-09,56.399999999999999,55.380000000000003,6,31.578947368421051,68.421052631578945,0.015821874460618
2008-12-10,55.259999999999998,54.439999999999998,5,26.315789473684209,73.684210526315795,-0.0180093353742653
2008-12-11,55.060000000000002,55.32,4,21.05263157894737,78.94736842105263,0.010900756890010133
2008-12-12,54.579999999999998,54.460000000000001,3,15.789473684210526,84.21052631578948,-0.014113748047693386
2008-12-15,55.700000000000003,54.840000000000003,2,10.526315789473685,89.473684210526315,0.009119891797893853
2008-12-16,52.439999999999998,52.25,1,5.2631578947368425,94.736842105263165,-0.04843438601870309
2008-12-17,51.289999999999999,52.07,0,0.0,100.0,-0.0044212137692104525
2008-12-18,50.310000000000002,48.93,21,95.454545454545453,4.5454545454545459,-0.03380065296715962
2008-12-19,47.350000000000001,46.530000000000001,20,90.909090909090907,9.0909090909090917,-0.05840208423795057
2008-12-22,45.509999999999998,45.630000000000003,19,86.36363636363636,13.636363636363637,-0.03711324346672318
2008-12-23,46.149999999999999,46.539999999999999,18,81.818181818181813,18.181818181818183,0.014866510912757924
2008-12-24,45.729999999999997,45.960000000000001,17,77.272727272727266,22.727272727272727,-0.009716185118895493
2008-12-26,45.149999999999999,45.649999999999999,16,72.727272727272734,27.272727272727273,-0.011328322792664824
2008-12-29,46.340000000000003,46.759999999999998,15,68.181818181818187,31.818181818181817,0.02579544313961657
2008-12-30,44.18,45.079999999999998,14,63.636363636363633,36.363636363636367,-0.043191643355959486
2008-12-31,41.939999999999998,42.93,13,59.090909090909093,40.909090909090907,-0.049593529147432536
2009-01-02,38.700000000000003,39.909999999999997,12,54.545454545454547,45.454545454545453,-0.07438894792773643
2009-01-05,39.960000000000001,40.159999999999997,11,50.0,50.0,0.02040532715691956
2009-01-06,39.530000000000001,39.549999999999997,10,45.454545454545453,54.545454545454547,-0.01298052920619075
2009-01-07,43.520000000000003,42.5,9,40.909090909090907,59.090909090909093,0.08656167375560408
2009-01-08,42.969999999999999,42.719999999999999,8,36.363636363636367,63.636363636363633,-0.002213560973543194
2009-01-09,44.549999999999997,44.149999999999999,7,31.818181818181817,68.181818181818187,0.03467680285398789
